run_order,family_id,prefix,new_filename,original_filename,status,role,purpose,direct_calls_or_reuses,upstream_dependency,primary_inputs,default_outputs,typical_run_command,notes
67,025,G,G026_run_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.sh,,new aligned code,dashboard driver,Run NormThenMeter dashboard builder.,G025_build_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormThenMeter prediction/error roots,HTML + ZIP,sbatch G026_run_NormThenMeter_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260727.sh,
68,030,D,D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,renamed existing code,training backend,MeterOnly v2 dual-mask training backend.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",v2 splits + tiles,MeterOnly checkpoint,bash D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,
69,030,D,D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,renamed existing code,holdout training driver,Train MeterOnly holdout model.,D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",A020 split,cross_validation_v4 runs,sbatch D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,
70,030,D,D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,renamed existing code,stdstrat training driver,Train MeterOnly std-strat model.,D030_train_v2_dualmask_corePixel_meterMAE_BaselineEval_backend_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",A020s split,cross_validation_v4 runs,sbatch D032_v2_dualmask_stdstrat_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,
71,030,D,D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,renamed existing code,training workflow,Submit CA/CO/Santiam MeterOnly training.,D031_v2_dualmask_holdout_meterMAE_BaselineEval_RuntimeLogSafe_D001NoDataSafe_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",A020 splits,three Slurm jobs,bash D033_submit_three_holdout_meterMAE_BaselineEval_20260713.sh,
72,030,E,E030_evaluate_MeterOnly_core_pixel_metrics_overlayvis_20260713.py,E060_v4_meterMAE_evaluate_core_pixel_metrics_overlayvis_20260713.py,renamed existing code,evaluation core,Core-pixel evaluation for MeterOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 checkpoint + split,evaluation metrics/figures,python E030_evaluate_MeterOnly_core_pixel_metrics_overlayvis_20260713.py,
73,030,E,E031_run_MeterOnly_train_val_core_pixel_eval_20260713.sh,E061_run_v4_meterMAE_train_val_core_pixel_eval_20260713.sh,renamed existing code,evaluation driver,Run MeterOnly train/val evaluation.,E030_evaluate_MeterOnly_core_pixel_metrics_overlayvis_20260713.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 checkpoint,run-local evaluation,sbatch E031_run_MeterOnly_train_val_core_pixel_eval_20260713.sh,
74,030,F,F030_fullriver_predict_MeterOnly_TileAvgVRT_CoreFinalLossOnly_20260713.py,F060_fullriver_predict_tileavg_vrt_MeterMAE_CoreFinalLossOnly_Inst1DSafe_20260713.py,renamed existing code,full-river inference core,Full-river prediction for MeterOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 checkpoint + E001 tiles,FullRiver_Predictions_F060...,python F030_fullriver_predict_MeterOnly_TileAvgVRT_CoreFinalLossOnly_20260713.py,
75,030,F,F031_run_fullriver_inference_MeterOnly_TileAvgVRT_20260713.sh,F061_run_fullriver_inference_meterMAE_TileAvgVRT_20260713.sh,renamed existing code,full-river inference driver,Run MeterOnly full-river prediction.,F030_fullriver_predict_MeterOnly_TileAvgVRT_CoreFinalLossOnly_20260713.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 checkpoint,FullRiver_Predictions_F060...,sbatch F031_run_fullriver_inference_MeterOnly_TileAvgVRT_20260713.sh,
76,030,F,F032_fullriver_gt_error_MeterOnly_UniquePixel_20260713.py,F062_fullriver_gt_error_uniquePixel_MeterMAE_20260713.py,renamed existing code,full-river error core,Build unique-pixel GT/error for MeterOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F031 prediction products,FullRiver_GT_Error_F062...,python F032_fullriver_gt_error_MeterOnly_UniquePixel_20260713.py,
77,030,F,F033_run_fullriver_gt_error_MeterOnly_UniquePixel_20260713.sh,F063_run_fullriver_gt_error_uniquePixel_MeterMAE_20260713.sh,renamed existing code,full-river error driver,Run MeterOnly full-river error calculation.,F032_fullriver_gt_error_MeterOnly_UniquePixel_20260713.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F031 outputs,FullRiver_GT_Error_F062...,sbatch F033_run_fullriver_gt_error_MeterOnly_UniquePixel_20260713.sh,
78,030,F,F033b_submit_three_holdout_MeterOnly_eval_inference_error_20260713.sh,F064_submit_three_holdout_meterMAE_eval_inference_metrics_20260713.sh,renamed existing code,workflow driver,Submit three MeterOnly evaluation/inference/error workflows.,E031; F031; F033,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 formal runs,Slurm jobs,bash F033b_submit_three_holdout_MeterOnly_eval_inference_error_20260713.sh,
79,030,G,G030_build_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.py,G010_build_meterMAE_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_F051Stable_20260714.py,renamed existing code,dashboard core,Build MeterOnly full-river dashboard.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F031/F033 + E001 tiles,FullRiver_WebMap_G010...,python G030_build_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.py,
80,030,G,G031_run_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.sh,G011_run_meterMAE_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_F051Stable_20260714.sh,renamed existing code,dashboard driver,Run MeterOnly dashboard builder.,G030_build_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",MeterOnly prediction/error roots,HTML + ZIP,sbatch G031_run_MeterOnly_holdout_dashboard_1m_WhiteNoBasemap_PointProbe_20260714.sh,
81,034,D,D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,renamed existing code,training backend,"Stage2 normalized-MSE fine-tuning from MeterOnly checkpoint, meter-based selection.",,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",MeterOnly checkpoint,MeterThenNorm checkpoint,bash D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,
82,034,D,D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,renamed existing code,holdout training driver,Train MeterThenNorm holdout model.,D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D031 checkpoint,cross_validation_v5 runs,sbatch D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,
83,034,D,D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,renamed existing code,stdstrat training driver,Train MeterThenNorm std-strat model.,D034_train_stage2_NormalizedMSE_MeterSelect_backend_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",D032 checkpoint,cross_validation_v5 runs,sbatch D036_v2_dualmask_stdstrat_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,
84,034,D,D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,renamed existing code,training workflow,Submit CA/CO/Santiam MeterThenNorm training.,D035_v2_dualmask_holdout_Stage2NormMSE_MeterSelect_RuntimeLogSafe_20260713.sh,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",MeterOnly formal runs,three Slurm jobs,bash D037_submit_three_holdout_Stage2NormMSE_MeterSelect_20260713.sh,
85,034,E,E034_evaluate_MeterThenNorm_core_pixel_metrics_overlayvis_YYYYMMDD.py,,planned,MeterThenNorm evaluation core,Not present in backup; should reuse E030 mathematics with D035 checkpoint.,,,,,,Not present in backup; should reuse E030 mathematics with D035 checkpoint.
86,034,E,E035_run_MeterThenNorm_train_val_core_pixel_eval_YYYYMMDD.sh,,planned,MeterThenNorm evaluation driver,Not present in backup.,,,,,,Not present in backup.
87,034,F,F034_fullriver_predict_MeterThenNorm_TileAvgVRT_YYYYMMDD.py,,planned,MeterThenNorm full-river inference core,Not present in backup.,,,,,,Not present in backup.
88,034,F,F035_run_fullriver_inference_MeterThenNorm_YYYYMMDD.sh,,planned,MeterThenNorm inference driver,Not present in backup.,,,,,,Not present in backup.
89,034,F,F036_fullriver_gt_error_MeterThenNorm_UniquePixel_YYYYMMDD.py,,planned,MeterThenNorm error core,Not present in backup.,,,,,,Not present in backup.
90,034,F,F037_run_fullriver_gt_error_MeterThenNorm_UniquePixel_YYYYMMDD.sh,,planned,MeterThenNorm error driver,Not present in backup.,,,,,,Not present in backup.
91,090,G,G090_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.py,F065_compare_fullriver_error_distribution_norm_vs_meter_20260714.py,renamed existing code,cross-model analysis core,Compare unique full-river error distributions: NormOnly vs MeterOnly.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormOnly and MeterOnly prediction/error manifests,distribution figures + CSV,python G090_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.py,
92,090,G,G091_run_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.sh,F066_run_fullriver_compare_error_distribution_norm_vs_meter_20260714.sh,renamed existing code,cross-model analysis driver,Run G090 distribution comparison.,G090_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F023 + F033 outputs,FullRiver_ErrorDistribution_F065...,sbatch G091_run_compare_fullriver_error_distribution_NormOnly_vs_MeterOnly_20260714.sh,
93,090,G,G092_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.py,,new aligned code,cross-model local analysis core,Compare NormThenMeter and MeterOnly globally and at best/middle/worst reaches.,,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",F028 + F033 outputs and prediction manifests,"local figures, GeoTIFFs, HTML, CSV",python G092_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.py,
94,090,G,G093_run_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.sh,,new aligned code,cross-model local analysis driver,Run G092 local-reach comparison.,G092_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.py,"See direct_calls_or_reuses and run_order; model dependencies: 025 <- 020, 034 <- 030.",NormThenMeter and MeterOnly full-river outputs,FullRiver_Analysis_G004...,sbatch G093_run_compare_NormThenMeter_vs_MeterOnly_local_reaches_20260727.sh,
